timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-04-07T11:45:13,lr0.05_steps4000,1,0.8994,0.9344,0.8843
2026-04-07T12:03:36,lr0.05_steps4000,1,0.8994,0.9344,0.8843
2026-04-07T12:21:58,lr0.05_steps4000,1,0.8914,0.9275,0.876
2026-04-07T12:40:21,lr0.05_steps4000,1,0.8994,0.9344,0.8843
2026-04-07T12:58:49,lr0.05_steps4000,1,0.8994,0.9344,0.8843
2026-04-07T13:18:08,lr0.05_steps4000,1,0.8997,0.9358,0.8843
2026-04-07T13:37:10,lr0.05_steps4000,1,0.8994,0.9344,0.8843
2026-04-07T13:56:47,lr0.05_steps4000,1,0.8994,0.9344,0.8843
2026-04-07T14:16:42,lr0.05_steps4000,1,0.8994,0.9344,0.8843
2026-04-07T14:37:35,lr0.05_steps4000,1,0.8994,0.9344,0.8843
