timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-04-07T11:41:56,lr0.001_steps4000,1,0.8667,0.9081,0.8512
2026-04-07T12:00:17,lr0.001_steps4000,1,0.8697,0.9069,0.8512
2026-04-07T12:18:41,lr0.001_steps4000,1,0.8645,0.9069,0.843
2026-04-07T12:37:02,lr0.001_steps4000,1,0.8592,0.9003,0.843
2026-04-07T12:55:29,lr0.001_steps4000,1,0.8645,0.9069,0.843
2026-04-07T13:14:40,lr0.001_steps4000,1,0.8645,0.9069,0.843
2026-04-07T13:33:36,lr0.001_steps4000,1,0.8614,0.9081,0.843
2026-04-07T13:53:17,lr0.001_steps4000,1,0.8645,0.9069,0.843
2026-04-07T14:12:59,lr0.001_steps4000,1,0.854,0.9003,0.8347
2026-04-07T14:34:00,lr0.001_steps4000,1,0.854,0.9003,0.8347
