timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-04-07T11:51:57,lr0.01_steps6000,1,0.8974,0.9326,0.8843
2026-04-07T12:10:23,lr0.01_steps6000,1,0.8892,0.9244,0.876
2026-04-07T12:28:43,lr0.01_steps6000,1,0.8892,0.9244,0.876
2026-04-07T12:47:07,lr0.01_steps6000,1,0.8892,0.9244,0.876
2026-04-07T13:05:56,lr0.01_steps6000,1,0.8974,0.9326,0.8843
2026-04-07T13:25:03,lr0.01_steps6000,1,0.8974,0.9326,0.8843
2026-04-07T13:44:40,lr0.01_steps6000,1,0.8974,0.9326,0.8843
2026-04-07T14:04:02,lr0.01_steps6000,1,0.8974,0.9326,0.8843
2026-04-07T14:24:59,lr0.01_steps6000,1,0.8974,0.9326,0.8843
2026-04-07T14:45:04,lr0.01_steps6000,1,0.8974,0.9326,0.8843
