timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-04-07T11:46:59,lr0.01_steps2000,1,0.8971,0.9321,0.8843
2026-04-07T12:05:24,lr0.01_steps2000,1,0.8971,0.9321,0.8843
2026-04-07T12:23:45,lr0.01_steps2000,1,0.8924,0.9321,0.876
2026-04-07T12:42:07,lr0.01_steps2000,1,0.8971,0.9321,0.8843
2026-04-07T13:00:36,lr0.01_steps2000,1,0.8971,0.9321,0.8843
2026-04-07T13:19:57,lr0.01_steps2000,1,0.8924,0.9321,0.876
2026-04-07T13:39:05,lr0.01_steps2000,1,0.8841,0.9238,0.8678
2026-04-07T13:58:37,lr0.01_steps2000,1,0.8971,0.9321,0.8843
2026-04-07T14:18:41,lr0.01_steps2000,1,0.8971,0.9321,0.8843
2026-04-07T14:39:27,lr0.01_steps2000,1,0.8924,0.9321,0.876
