timestamp,run_id,run_number,f1_weighted,precision_weighted,recall_weighted
2026-05-11T22:06:19,baseline,1,0.8697,0.9069,0.8512
2026-05-11T22:08:45,baseline,1,0.8837,0.9147,0.8678
2026-05-11T22:11:08,baseline,1,0.8592,0.9003,0.843
2026-05-11T22:13:32,baseline,1,0.8697,0.9069,0.8512
2026-05-11T22:15:58,baseline,1,0.8749,0.9162,0.8595
2026-05-11T22:18:25,baseline,1,0.8697,0.9069,0.8512
2026-05-11T22:20:51,baseline,1,0.8592,0.9003,0.843
2026-05-11T22:23:16,baseline,1,0.8481,0.9003,0.8264
2026-05-11T22:25:43,baseline,1,0.86,0.9135,0.8347
2026-05-11T22:28:10,baseline,1,0.8614,0.9081,0.843
"2026-05-11T22:28:10","baseline_AVG","0","0.8656","0.9074","0.8471"
